curso,codigo_g,sede,modalidad,precio_regular_pen,precio_promo_pen,duracion,pack_x2,medios_pago,notas
Melamina Desde Cero,,Surco,Presencial,750,525,por confirmar,Aplica pack x2 (solo Lima),Yape/Plin/Tarjeta,Sede Surco (DC / Av. Lima)
Melamina Desde Cero,,Los Olivos,Presencial,750,525,por confirmar,Aplica pack x2 (solo Lima),Yape/Plin/Tarjeta,
Melamina Desde Cero,,Arequipa,Presencial,575,400,por confirmar,Sin pack (Arequipa),Yape/Plin/Tarjeta,
Melamina Avanzado,G16,Surco,Presencial,por confirmar,por confirmar,por confirmar,Aplica pack x2 (solo Lima),Yape/Plin/Tarjeta,Precio Avanzado a confirmar en Fase 0.2
Melamina Avanzado,G16,Los Olivos,Presencial,por confirmar,por confirmar,por confirmar,Aplica pack x2 (solo Lima),Yape/Plin/Tarjeta,
Melamina Avanzado,G16,Arequipa,Presencial,por confirmar,por confirmar,por confirmar,Sin pack (Arequipa),Yape/Plin/Tarjeta,
Drywall Desde Cero,,Surco,Presencial,650,450,por confirmar,Aplica pack x2 (solo Lima),Yape/Plin/Tarjeta,
Drywall Desde Cero,,Los Olivos,Presencial,650,450,por confirmar,Aplica pack x2 (solo Lima),Yape/Plin/Tarjeta,
Drywall Desde Cero,,Arequipa,Presencial,645,400,por confirmar,Sin pack (Arequipa),Yape/Plin/Tarjeta,
Drywall Avanzado,,Surco,Presencial,por confirmar,por confirmar,por confirmar,Aplica pack x2 (solo Lima),Yape/Plin/Tarjeta,Codigo G y precio a confirmar en Fase 0
Drywall Avanzado,,Los Olivos,Presencial,por confirmar,por confirmar,por confirmar,Aplica pack x2 (solo Lima),Yape/Plin/Tarjeta,
Drywall Avanzado,,Arequipa,Presencial,por confirmar,por confirmar,por confirmar,Sin pack (Arequipa),Yape/Plin/Tarjeta,
Electricidad + Domotica,G25,Surco,Presencial,780,600,por confirmar,Sin pack,Yape/Plin/Tarjeta,Solo Lima (no se dicta en Arequipa)
Electricidad + Domotica,G25,Los Olivos,Presencial,780,600,por confirmar,Sin pack,Yape/Plin/Tarjeta,Solo Lima
